2020-09-22 13:44:17 INFO  PostProcessing:371 - Number of rows in the POSTPROCESSING SELECTION table: 2
2020-09-22 13:44:17 INFO  PostProcessing:388 - The value in 'Postprocessing Action ID' column in row# 1 is equal to: ORDER
2020-09-22 13:44:17 INFO  PostProcessing:545 - Number of columns in the POSTPROCESSING SELECTION table: 4
2020-09-22 13:44:17 INFO  PostProcessing:581 - Number of rows in the POSTPROCESSING SELECTION table: 2
2020-09-22 13:44:17 INFO  PostProcessing:597 - The class value in 'Execute Action' column in row# 1 is equal to: lsSelector--generic lsSelector--shrinked lsSelector--usedInSapTable lsCheckBox--checked 
2020-09-22 13:44:18 INFO  PostProcessing:597 - The class value in 'Execute Action' column in row# 2 is equal to: lsSelector--generic lsSelector--shrinked lsSelector--usedInSapTable lsCheckBox--checked 
2020-09-22 13:44:18 INFO  PostProcessing:388 - The value in 'Postprocessing Action ID' column in row# 2 is equal to: MAIL
2020-09-22 13:44:18 INFO  PostProcessing:545 - Number of columns in the POSTPROCESSING SELECTION table: 4
2020-09-22 13:44:18 INFO  PostProcessing:581 - Number of rows in the POSTPROCESSING SELECTION table: 2
2020-09-22 13:44:18 INFO  PostProcessing:597 - The class value in 'Execute Action' column in row# 1 is equal to: lsSelector--generic lsSelector--shrinked lsSelector--usedInSapTable lsCheckBox--checked 
2020-09-22 13:44:18 INFO  PostProcessing:597 - The class value in 'Execute Action' column in row# 2 is equal to: lsSelector--generic lsSelector--shrinked lsSelector--usedInSapTable lsCheckBox--checked 
2020-09-22 13:44:19 INFO  Test_Cases:361 - Both 'ORDER' and 'MAIL' rows were SUCCESSFULLY found as SELECTED in the POSTPROCESSING SELECTION table on the POSTPROCESSING popup.
2020-09-22 13:44:19 INFO  PostProcessing:205 - EXECUTE POSTPROCESSING button was SUCCESSFULLY clicked on the POSTPROCESSING popup.
2020-09-22 13:44:24 INFO  Waitings:40 - TOTAL TIME that the E-MAIL SENT SUCCESSFULLY message web-element was loading: 5.288 seconds.
2020-09-22 13:44:24 INFO  Waitings:40 - TOTAL TIME that the CSR ORDER GENERATION COMPLETED SUCCESSFULLY message web-element was loading: 0.026 seconds.
2020-09-22 13:44:28 INFO  Waitings:582 - TOTAL TIME that the RESULTS OF CSR ANALYSIS popup was observed for changing its status: 1.099 seconds.
2020-09-22 13:44:29 INFO  Waitings:86 - TOTAL TIME that the RESULTS OF CSR ANALYSIS popup -> LOG MESSAGES table page was loading: 1.053 seconds.
2020-09-22 13:44:33 INFO  Waitings:434 - TOTAL TIME that the Updated 'CSR ANALYSIS RESULTS' TABLE after SCROLL-UP page was loading: 0.008 seconds.
2020-09-22 13:44:36 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.037 seconds.
